id_x,id_cliente,producto,cantidad,precio,fecha,region,canal,costo_unitario,total,margen,id_y,nombre,ciudad,segmento
1,2263,D,8,230.51,2023-02-06,Este,Online,129.3,1844.08,809.6799999999998,2263,Cliente_2263,Valencia,BÃ¡sico
2,2759,E,2,44.93,2023-01-26,Sur,Distribuidor,27.17,89.86,35.519999999999996,2759,Cliente_2759,Sevilla,BÃ¡sico
3,2190,B,14,121.1,2023-11-20,Centro,Tienda,82.27,1695.3999999999999,543.62,2190,Cliente_2190,Sevilla,Standard
4,4085,B,17,8.68,2023-02-20,Este,Mayorista,3.47,147.56,88.56999999999998,4085,Cliente_4085,Barcelona,Premium
6,2961,B,8,259.91,2023-07-06,Oeste,Mayorista,171.42,2079.28,707.9200000000003,2961,Cliente_2961,Sevilla,Premium
8,9113,B,11,290.01,2023-10-06,Norte,Mayorista,130.21,3190.1099999999997,1757.7999999999997,9113,Cliente_9113,Sevilla,BÃ¡sico
9,871,C,10,456.87,2023-04-24,Centro,Mayorista,156.53,4568.7,3003.4000000000005,871,Cliente_871,Sevilla,Premium
10,10416,D,15,29.42,2023-11-14,Este,Tienda,19.18,441.3,153.60000000000002,,,,
11,8514,C,3,436.31,2023-12-09,Norte,Mayorista,201.81,1308.93,703.5,8514,Cliente_8514,Bilbao,Premium
12,9776,C,10,330.62,2023-02-26,Oeste,Tienda,213.93,3306.2,1166.9,9776,Cliente_9776,MÃ¡laga,Premium
13,6663,B,13,459.76,2023-07-22,Oeste,Distribuidor,204.51,5976.88,3318.25,6663,Cliente_6663,Bilbao,Standard
14,5140,D,7,335.19,2023-04-23,Oeste,Distribuidor,148.9,2346.33,1304.03,5140,Cliente_5140,MÃ¡laga,Premium
15,10170,E,19,445.28,2023-01-24,Sur,Online,297.94,8460.32,2799.4599999999996,,,,
16,2176,A,17,120.33,2023-08-08,Sur,Online,82.91,2045.61,636.14,2176,Cliente_2176,MÃ¡laga,Premium
17,8362,A,19,423.9,2023-09-27,Oeste,Tienda,277.48,8054.099999999999,2781.979999999999,8362,Cliente_8362,Madrid,Standard
18,8990,B,12,260.78,2023-12-31,Este,Tienda,156.66,3129.3599999999997,1249.4399999999996,8990,Cliente_8990,Barcelona,BÃ¡sico
19,3290,A,11,47.92,2023-11-19,Sur,Tienda,18.15,527.12,327.47,3290,Cliente_3290,Sevilla,Premium
20,7062,D,3,61.27,2023-01-03,Sur,Distribuidor,30.02,183.81,93.75000000000001,7062,Cliente_7062,Bilbao,BÃ¡sico
21,4868,B,18,156.82,2023-08-17,Sur,Online,85.97,2822.7599999999998,1275.3,4868,Cliente_4868,MÃ¡laga,BÃ¡sico
22,1807,A,12,243.88,2023-11-09,Oeste,Online,106.94,2926.56,1643.28,1807,Cliente_1807,MÃ¡laga,Premium
23,8951,C,16,173.86,2023-12-05,Sur,Tienda,101.2,2781.76,1162.5600000000002,8951,Cliente_8951,Valencia,Premium
24,5147,C,15,349.63,2023-01-08,Centro,Distribuidor,143.19,5244.45,3096.6,5147,Cliente_5147,Zaragoza,BÃ¡sico
25,7400,B,15,101.68,2023-10-22,Oeste,Tienda,44.63,1525.2,855.7500000000001,7400,Cliente_7400,Bilbao,Standard
26,5596,E,18,222.45,2023-01-29,Oeste,Tienda,88.35,4004.1,2413.7999999999997,5596,Cliente_5596,Zaragoza,Standard
27,4738,A,10,134.96,2023-02-14,Centro,Tienda,54.56,1349.6000000000001,804.0,4738,Cliente_4738,Zaragoza,Premium
28,5132,C,4,43.57,2023-02-23,Este,Online,20.6,174.28,91.88,5132,Cliente_5132,Zaragoza,BÃ¡sico
30,6237,C,3,129.7,2023-06-06,Este,Online,64.45,389.09999999999997,195.74999999999994,6237,Cliente_6237,Barcelona,Standard
32,1789,A,9,192.9,2023-06-29,Oeste,Online,90.7,1736.1000000000001,919.8000000000001,1789,Cliente_1789,Bilbao,Premium
33,8483,A,19,138.71,2023-04-14,Este,Tienda,69.73,2635.4900000000002,1310.6200000000001,8483,Cliente_8483,Sevilla,Standard
34,256,A,15,311.23,2023-10-21,Este,Distribuidor,175.16,4668.450000000001,2041.0500000000004,256,Cliente_256,Madrid,BÃ¡sico
35,4901,C,3,452.29,2023-10-26,Este,Tienda,290.76,1356.8700000000001,484.5900000000001,4901,Cliente_4901,Bilbao,Standard
36,5885,E,6,166.81,2023-09-07,Sur,Distribuidor,113.81,1000.86,318.0,5885,Cliente_5885,Zaragoza,Premium
38,8528,D,2,261.7,2023-10-04,Este,Online,153.2,523.4,217.0,8528,Cliente_8528,MÃ¡laga,Standard
40,6311,A,10,141.36,2023-05-01,Norte,Tienda,42.55,1413.6000000000001,988.1000000000001,6311,Cliente_6311,Madrid,Premium
41,5860,E,3,358.04,2023-11-11,Norte,Tienda,176.07,1074.1200000000001,545.9100000000001,5860,Cliente_5860,Zaragoza,BÃ¡sico
42,3458,D,5,31.12,2023-11-23,Oeste,Online,11.06,155.6,100.30000000000001,3458,Cliente_3458,MÃ¡laga,Premium
43,7488,D,6,95.76,2023-04-24,Oeste,Mayorista,60.56,574.5600000000001,211.20000000000002,7488,Cliente_7488,Sevilla,BÃ¡sico
44,2395,A,12,458.82,2023-06-19,Centro,Tienda,180.56,5505.84,3339.12,2395,Cliente_2395,MÃ¡laga,Standard
45,3455,B,4,167.05,2023-08-03,Este,Mayorista,53.62,668.2,453.72,3455,Cliente_3455,Bilbao,Premium
46,5636,D,18,431.3,2023-04-08,Este,Mayorista,246.19,7763.400000000001,3331.9800000000005,5636,Cliente_5636,Sevilla,BÃ¡sico
47,5681,D,18,405.63,2023-06-01,Sur,Distribuidor,183.32,7301.34,4001.58,5681,Cliente_5681,Madrid,Premium
48,1015,E,19,358.93,2023-11-15,Oeste,Online,234.38,6819.67,2366.4500000000003,1015,Cliente_1015,Madrid,Standard
49,5149,B,20,49.41,2023-02-28,Oeste,Mayorista,16.18,988.1999999999999,664.5999999999999,5149,Cliente_5149,MÃ¡laga,Standard
50,10075,D,6,428.04,2023-07-07,Oeste,Mayorista,295.08,2568.2400000000002,797.7600000000002,,,,
51,2563,B,9,350.58,2023-08-08,Norte,Tienda,180.9,3155.22,1527.12,2563,Cliente_2563,MÃ¡laga,Premium
52,9424,B,5,331.15,2023-09-24,Este,Online,160.61,1655.75,852.6999999999998,9424,Cliente_9424,Bilbao,Premium
53,10093,E,20,97.88,2023-06-13,Centro,Mayorista,64.78,1957.6,661.9999999999999,,,,
54,9261,A,10,87.78,2023-11-25,Oeste,Mayorista,37.64,877.8,501.4,9261,Cliente_9261,Bilbao,Premium
55,9773,D,14,139.04,2023-07-01,Oeste,Mayorista,50.74,1946.56,1236.1999999999998,9773,Cliente_9773,MÃ¡laga,Premium
56,8407,C,19,338.23,2023-08-12,Sur,Online,156.65,6426.370000000001,3450.0200000000004,8407,Cliente_8407,Barcelona,Premium
57,5687,B,1,387.38,2023-02-11,Norte,Tienda,213.43,387.38,173.95,5687,Cliente_5687,Barcelona,BÃ¡sico
58,4021,D,16,116.13,2023-07-02,Sur,Mayorista,48.84,1858.08,1076.6399999999999,4021,Cliente_4021,Madrid,BÃ¡sico
