id,id_cliente,producto,cantidad,precio,fecha,region,canal,descuento_pct,costo_unitario
1,2263,D,8,230.51,2023-02-06,Este,Online,3.8,129.3
2,2759,E,2,44.93,2023-01-26,Sur,Distribuidor,9.7,27.17
3,2190,B,14,121.1,2023-11-20,Centro,Tienda,11.7,82.27
4,4085,B,17,8.68,2023-02-20,Este,Mayorista,14.7,3.47
5,8750,B,0,461.08,2023-06-08,Oeste,Online,12.0,274.4
6,2961,B,8,259.91,2023-07-06,Oeste,Mayorista,6.1,171.42
7,9052,A,17,199.38,2024-01-18,Este,Tienda,0.5,116.88
8,9113,B,11,290.01,2023-10-06,Norte,Mayorista,7.0,130.21
9,871,C,10,456.87,2023-04-24,Centro,Mayorista,6.8,156.53
10,10416,D,15,29.42,2023-11-14,Este,Tienda,12.0,19.18
11,8514,C,3,436.31,2023-12-09,Norte,Mayorista,4.1,201.81
12,9776,C,10,330.62,2023-02-26,Oeste,Tienda,0.5,213.93
13,6663,B,13,459.76,2023-07-22,Oeste,Distribuidor,8.0,204.51
14,5140,D,7,335.19,2023-04-23,Oeste,Distribuidor,6.4,148.9
15,10170,E,19,445.28,2023-01-24,Sur,Online,4.1,297.94
16,2176,A,17,120.33,2023-08-08,Sur,Online,5.7,82.91
17,8362,A,19,423.9,2023-09-27,Oeste,Tienda,4.7,277.48
18,8990,B,12,260.78,2023-12-31,Este,Tienda,9.9,156.66
19,3290,A,11,47.92,2023-11-19,Sur,Tienda,10.2,18.15
20,7062,D,3,61.27,2023-01-03,Sur,Distribuidor,7.6,30.02
21,4868,B,18,156.82,2023-08-17,Sur,Online,3.4,85.97
22,1807,A,12,243.88,2023-11-09,Oeste,Online,13.2,106.94
23,8951,C,16,173.86,2023-12-05,Sur,Tienda,3.2,101.2
24,5147,C,15,349.63,2023-01-08,Centro,Distribuidor,4.6,143.19
25,7400,B,15,101.68,2023-10-22,Oeste,Tienda,11.2,44.63
26,5596,E,18,222.45,2023-01-29,Oeste,Tienda,7.6,88.35
27,4738,A,10,134.96,2023-02-14,Centro,Tienda,9.0,54.56
